@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
58,131,16,5,43,0.104167,0.891156,0.963235,0.891156,0.036765,0.925795,0.697436,1.277761,0.711
59,130,17,5,43,0.104167,0.884354,0.962963,0.884354,0.037037,0.921986,0.692308,1.2774,0.718
60,129,18,5,43,0.104167,0.877551,0.962687,0.877551,0.037313,0.918149,0.687179,1.277033,0.723
61,128,19,5,43,0.104167,0.870748,0.962406,0.870748,0.037594,0.914286,0.682051,1.276661,0.727
62,127,20,5,43,0.104167,0.863946,0.962121,0.863946,0.037879,0.910394,0.676923,1.276283,0.732
63,126,21,5,43,0.104167,0.857143,0.961832,0.857143,0.038168,0.906475,0.671795,1.2759,0.735
64,125,22,5,43,0.104167,0.85034,0.961538,0.85034,0.038462,0.902527,0.666667,1.27551,0.738
65,124,23,5,43,0.104167,0.843537,0.96124,0.843537,0.03876,0.898551,0.661538,1.275115,0.738
66,123,24,5,43,0.104167,0.836735,0.960938,0.836735,0.039063,0.894545,0.65641,1.274713,0.739
67,122,25,5,43,0.104167,0.829932,0.96063,0.829932,0.03937,0.890511,0.651282,1.274305,0.744
68,122,25,4,44,0.083333,0.829932,0.968254,0.829932,0.031746,0.893773,0.646154,1.284419,0.746
69,121,26,4,44,0.083333,0.823129,0.968,0.823129,0.032,0.889706,0.641026,1.284082,0.761
70,120,27,4,44,0.083333,0.816327,0.967742,0.816327,0.032258,0.885609,0.635897,1.283739,0.768
71,119,28,4,44,0.083333,0.809524,0.96748,0.809524,0.03252,0.881481,0.630769,1.283391,0.776
72,118,29,4,44,0.083333,0.802721,0.967213,0.802721,0.032787,0.877323,0.625641,1.283038,0.784
73,117,30,4,44,0.083333,0.795918,0.966942,0.795918,0.033058,0.873134,0.620513,1.282678,0.788
74,116,31,4,44,0.083333,0.789116,0.966667,0.789116,0.033333,0.868914,0.615385,1.282313,0.811
75,115,32,4,44,0.083333,0.782313,0.966387,0.782313,0.033613,0.864662,0.610256,1.281941,0.815
76,114,33,4,44,0.083333,0.77551,0.966102,0.77551,0.033898,0.860377,0.605128,1.281563,0.816
77,113,34,4,44,0.083333,0.768707,0.965812,0.768707,0.034188,0.856061,0.6,1.281179,0.819
78,113,34,3,45,0.0625,0.768707,0.974138,0.768707,0.025862,0.859316,0.594872,1.292224,0.825
79,113,34,2,46,0.041667,0.768707,0.982609,0.768707,0.017391,0.862595,0.589744,1.303461,0.829
80,112,35,2,46,0.041667,0.761905,0.982456,0.761905,0.017544,0.858238,0.584615,1.303258,0.829
81,112,35,1,47,0.020833,0.761905,0.99115,0.761905,0.00885,0.861538,0.579487,1.314791,0.83
82,111,36,1,47,0.020833,0.755102,0.991071,0.755102,0.008929,0.857143,0.574359,1.314687,0.831
83,110,37,1,47,0.020833,0.748299,0.990991,0.748299,0.009009,0.852713,0.569231,1.31458,0.84
84,109,38,1,47,0.020833,0.741497,0.990909,0.741497,0.009091,0.848249,0.564103,1.314471,0.841
85,108,39,1,47,0.020833,0.734694,0.990826,0.734694,0.009174,0.84375,0.558974,1.314361,0.843
86,107,40,1,47,0.020833,0.727891,0.990741,0.727891,0.009259,0.839216,0.553846,1.314248,0.845
87,106,41,1,47,0.020833,0.721088,0.990654,0.721088,0.009346,0.834646,0.548718,1.314133,0.848
88,105,42,1,47,0.020833,0.714286,0.990566,0.714286,0.009434,0.83004,0.54359,1.314016,0.85
89,104,43,1,47,0.020833,0.707483,0.990476,0.707483,0.009524,0.825397,0.538462,1.313897,0.852
90,103,44,1,47,0.020833,0.70068,0.990385,0.70068,0.009615,0.820717,0.533333,1.313776,0.853
91,102,45,1,47,0.020833,0.693878,0.990291,0.693878,0.009709,0.816,0.528205,1.313652,0.866
92,100,47,1,47,0.020833,0.680272,0.990099,0.680272,0.009901,0.806452,0.517949,1.313397,0.87
93,99,48,1,47,0.020833,0.673469,0.99,0.673469,0.01,0.801619,0.512821,1.313265,0.872
94,99,48,0,48,0,0.673469,1,0.673469,0,0.804878,0.507692,1.326531,0.873
95,98,49,0,48,0,0.666667,1,0.666667,0,0.8,0.502564,1.326531,0.885
96,97,50,0,48,0,0.659864,1,0.659864,0,0.795082,0.497436,1.326531,0.888
97,95,52,0,48,0,0.646259,1,0.646259,0,0.785124,0.487179,1.326531,0.889
98,93,54,0,48,0,0.632653,1,0.632653,0,0.775,0.476923,1.326531,0.892
99,92,55,0,48,0,0.62585,1,0.62585,0,0.769874,0.471795,1.326531,0.9
100,91,56,0,48,0,0.619048,1,0.619048,0,0.764706,0.466667,1.326531,0.91
101,90,57,0,48,0,0.612245,1,0.612245,0,0.759494,0.461538,1.326531,0.912
102,89,58,0,48,0,0.605442,1,0.605442,0,0.754237,0.45641,1.326531,0.914
103,88,59,0,48,0,0.598639,1,0.598639,0,0.748936,0.451282,1.326531,0.916
104,87,60,0,48,0,0.591837,1,0.591837,0,0.74359,0.446154,1.326531,0.917
105,85,62,0,48,0,0.578231,1,0.578231,0,0.732759,0.435897,1.326531,0.918
106,84,63,0,48,0,0.571429,1,0.571429,0,0.727273,0.430769,1.326531,0.919
107,83,64,0,48,0,0.564626,1,0.564626,0,0.721739,0.425641,1.326531,0.921
108,82,65,0,48,0,0.557823,1,0.557823,0,0.716157,0.420513,1.326531,0.922
109,81,66,0,48,0,0.55102,1,0.55102,0,0.710526,0.415385,1.326531,0.93
110,80,67,0,48,0,0.544218,1,0.544218,0,0.704846,0.410256,1.326531,0.931
111,79,68,0,48,0,0.537415,1,0.537415,0,0.699115,0.405128,1.326531,0.935
112,78,69,0,48,0,0.530612,1,0.530612,0,0.693333,0.4,1.326531,0.936
113,77,70,0,48,0,0.52381,1,0.52381,0,0.6875,0.394872,1.326531,0.937
114,76,71,0,48,0,0.517007,1,0.517007,0,0.681614,0.389744,1.326531,0.939
115,74,73,0,48,0,0.503401,1,0.503401,0,0.669683,0.379487,1.326531,0.944
116,73,74,0,48,0,0.496599,1,0.496599,0,0.663636,0.374359,1.326531,0.945
117,72,75,0,48,0,0.489796,1,0.489796,0,0.657534,0.369231,1.326531,0.947
118,71,76,0,48,0,0.482993,1,0.482993,0,0.651376,0.364103,1.326531,0.949
119,70,77,0,48,0,0.47619,1,0.47619,0,0.645161,0.358974,1.326531,0.951
120,68,79,0,48,0,0.462585,1,0.462585,0,0.632558,0.348718,1.326531,0.952
121,67,80,0,48,0,0.455782,1,0.455782,0,0.626168,0.34359,1.326531,0.959
122,65,82,0,48,0,0.442177,1,0.442177,0,0.613208,0.333333,1.326531,0.96
123,64,83,0,48,0,0.435374,1,0.435374,0,0.606635,0.328205,1.326531,0.961
124,62,85,0,48,0,0.421769,1,0.421769,0,0.593301,0.317949,1.326531,0.963
125,61,86,0,48,0,0.414966,1,0.414966,0,0.586538,0.312821,1.326531,0.969
126,60,87,0,48,0,0.408163,1,0.408163,0,0.57971,0.307692,1.326531,0.971
127,59,88,0,48,0,0.401361,1,0.401361,0,0.572816,0.302564,1.326531,0.973
128,58,89,0,48,0,0.394558,1,0.394558,0,0.565854,0.297436,1.326531,0.974
129,57,90,0,48,0,0.387755,1,0.387755,0,0.558824,0.292308,1.326531,0.977
130,56,91,0,48,0,0.380952,1,0.380952,0,0.551724,0.287179,1.326531,0.98
131,55,92,0,48,0,0.37415,1,0.37415,0,0.544554,0.282051,1.326531,0.981
132,54,93,0,48,0,0.367347,1,0.367347,0,0.537313,0.276923,1.326531,0.982
133,53,94,0,48,0,0.360544,1,0.360544,0,0.53,0.271795,1.326531,0.983
134,51,96,0,48,0,0.346939,1,0.346939,0,0.515152,0.261538,1.326531,0.987
135,50,97,0,48,0,0.340136,1,0.340136,0,0.507614,0.25641,1.326531,0.988
136,48,99,0,48,0,0.326531,1,0.326531,0,0.492308,0.246154,1.326531,0.989
137,43,104,0,48,0,0.292517,1,0.292517,0,0.452632,0.220513,1.326531,0.99
138,41,106,0,48,0,0.278912,1,0.278912,0,0.43617,0.210256,1.326531,0.991
139,39,108,0,48,0,0.265306,1,0.265306,0,0.419355,0.2,1.326531,0.992
140,38,109,0,48,0,0.258503,1,0.258503,0,0.410811,0.194872,1.326531,0.993
141,35,112,0,48,0,0.238095,1,0.238095,0,0.384615,0.179487,1.326531,0.994
142,32,115,0,48,0,0.217687,1,0.217687,0,0.357542,0.164103,1.326531,0.996
143,26,121,0,48,0,0.176871,1,0.176871,0,0.300578,0.133333,1.326531,0.997
144,20,127,0,48,0,0.136054,1,0.136054,0,0.239521,0.102564,1.326531,0.998
145,15,132,0,48,0,0.102041,1,0.102041,0,0.185185,0.076923,1.326531,0.999
146,7,140,0,48,0,0.047619,1,0.047619,0,0.090909,0.035897,1.326531,1
147,0,147,0,48,0,0,?,0,?,?,0,?,1.00001
